county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,leah_vukmir_rep,tammy_baldwin_dem,mary_jo_walters_write_in_ind,john_schiess_write_in_ind,scattering,race
BAYFIELD,City of WASHBURN,City of WASHBURN Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 74,223,845,0,0,0,US senator
BROWN,Town of EATON,Town of EATON Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 1,463,358,0,0,1,US senator
BROWN,Town of GLENMORE,Town of GLENMORE Wards 1-2,Congressional - District 8,State Senate - District 30,Assembly - District 88,310,223,0,0,0,US senator
BROWN,Town of GREEN BAY,Town of GREEN BAY Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 1,715,425,0,0,0,US senator
BROWN,Town of HOLLAND,Town of HOLLAND Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 2,480,326,0,0,0,US senator
BROWN,Town of HUMBOLDT,Town of HUMBOLDT Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 1,416,280,0,0,1,US senator
BROWN,Town of LAWRENCE,Town of LAWRENCE Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,752,613,0,0,1,US senator
BROWN,Town of LAWRENCE,Town of LAWRENCE Wards 4-6,Congressional - District 8,State Senate - District 1,Assembly - District 2,1026,632,0,0,2,US senator
BROWN,Town of LEDGEVIEW,"Town of LEDGEVIEW Wards 1-3,8-10",Congressional - District 8,State Senate - District 30,Assembly - District 88,1248,958,0,0,1,US senator
BROWN,Town of LEDGEVIEW,Town of LEDGEVIEW Wards 4-7,Congressional - District 8,State Senate - District 1,Assembly - District 2,996,881,0,0,1,US senator
BROWN,Town of MORRISON,Town of MORRISON Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 2,540,225,0,0,1,US senator
BROWN,Town of NEW DENMARK,Town of NEW DENMARK Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,479,350,0,0,0,US senator
BROWN,Town of PITTSFIELD,Town of PITTSFIELD Wards 1-3,Congressional - District 8,State Senate - District 2,Assembly - District 6,954,552,0,0,5,US senator
BROWN,Town of ROCKLAND,Town of ROCKLAND Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,612,365,0,0,0,US senator
BROWN,Town of SCOTT,Town of SCOTT Wards 1-4,Congressional - District 8,State Senate - District 1,Assembly - District 1,1070,957,0,0,3,US senator
BROWN,Town of WRIGHTSTOWN,Town of WRIGHTSTOWN Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,673,432,0,0,1,US senator
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 1-2,Congressional - District 8,State Senate - District 2,Assembly - District 4,704,1109,0,0,9,US senator
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 3-4,Congressional - District 8,State Senate - District 2,Assembly - District 4,693,947,0,0,2,US senator
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 5-6,Congressional - District 8,State Senate - District 2,Assembly - District 4,1043,1028,0,0,5,US senator
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 7-9,Congressional - District 8,State Senate - District 2,Assembly - District 4,751,882,0,0,1,US senator
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Ward 10,Congressional - District 8,State Senate - District 30,Assembly - District 88,0,0,0,0,0,US senator
