office,votes,candidate,party
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 21,14280,Jessie Rodriguez,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 21,11806,Gabriel A. Gomez,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 22,32922,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 22,21153,Janel Brandtjen,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 22,11738,Aaron Matteson,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 22,2,Michele Divelbiss (write-in),Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 23,35281,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 23,18321,Jim Ott,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 23,16939,Liz Sumner,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 24,32906,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 24,17650,Dan Knodl,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 24,15244,Emily Siegrist,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 25,23838,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 25,14785,Paul Tittl,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 25,9042,Jennifer Estrada,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 26,24966,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 26,14485,Terry Katsma,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 26,10466,Rebecca Clarke,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 27,27735,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 27,16533,Tyler Vorpagel,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 27,11186,Nanette Bulebosh,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,24473,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,14441,Gae Magnafici,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,10028,Kim Butler,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,22896,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,12523,Rob Stafsholt,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,9750,John Rocco Calabrese,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,620,Brian Corriea,Libertarian
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,28271,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,15240,Shannon Zimmerman,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,13015,Barry Hammarback,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 31,26623,Total Votes,NA
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 31,15299,Amy Loudenbeck,Republican
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 31,11305,Brittany Keyes,Democrat
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 32,25015,Total Votes,NA
