county,muni,reporting_unit_name,congressional_district,senate_district,assembly_district,scott_walker_rebecca_kleefisch_rep,tony_evers_mandela_barnes_dem,phillip_anderson_patrick_baird_lib,michael_j_white_tiffany_anderson_wgr,maggie_turnbull_wil_losch_ind,arnie_enz_no_candidate_ind,ryan_cason_write_in_no_candidate_rep,paul_boucher_write_in_no_candidate_dem,mark_s_grimek_write_in_no_candidate_con,jared_william_landry_write_in_no_candidate_dem,robbie_hoffman_write_in_no_candidate_ind,richard_michael_turtenwald_write_in_no_candidate_ind,no_candidate_corban_gehler_write_in_dem,no_candidate_william_henry_davis_iii_write_in_dem,scattering,race
ASHLAND,City of ASHLAND,City of ASHLAND Ward 11,Congressional - District 7,State Senate - District 25,Assembly - District 74,118,212,1,4,1,0,0,0,0,0,0,0,0,0,0,governor
ASHLAND,City of MELLEN,City of MELLEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,99,120,2,1,3,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of ALMENA,Town of ALMENA Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,240,144,2,3,2,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of ARLAND,Town of ARLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,129,112,1,1,3,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of BARRON,Town of BARRON Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,234,84,1,1,2,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of BEAR LAKE,Town of BEAR LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,167,145,0,1,1,1,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of CEDAR LAKE,Town of CEDAR LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,414,213,2,4,2,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of CHETEK,Town of CHETEK Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,543,356,9,3,7,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of CLINTON,Town of CLINTON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,158,109,0,0,5,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of CRYSTAL LAKE,Town of CRYSTAL LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,205,124,3,0,0,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of CUMBERLAND,Town of CUMBERLAND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,239,154,0,1,0,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of DALLAS,Town of DALLAS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,162,77,0,0,0,1,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of DOVRE,Town of DOVRE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,181,134,1,1,5,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of DOYLE,Town of DOYLE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,146,82,0,0,3,1,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of LAKELAND,Town of LAKELAND Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,290,181,3,1,3,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of MAPLE GROVE,Town of MAPLE GROVE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,274,100,2,2,3,1,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of MAPLE PLAIN,Town of MAPLE PLAIN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,214,194,0,1,1,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of OAK GROVE,Town of OAK GROVE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,232,174,3,0,0,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of PRAIRIE FARM,Town of PRAIRIE FARM Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,127,93,0,2,2,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of PRAIRIE LAKE,Town of PRAIRIE LAKE Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 75,469,253,4,0,2,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of RICE LAKE,Town of RICE LAKE Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,752,618,1,3,6,1,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of SIOUX CREEK,Town of SIOUX CREEK Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,173,97,2,2,1,1,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of STANFOLD,Town of STANFOLD Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,203,116,0,0,2,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of STANLEY,Town of STANLEY Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,696,399,5,4,7,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of SUMNER,Town of SUMNER Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,195,121,2,0,0,1,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of TURTLE LAKE,Town of TURTLE LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,137,97,2,2,2,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Town of VANCE CREEK,Town of VANCE CREEK Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,144,128,0,0,1,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Village of ALMENA,Village of ALMENA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,141,71,2,1,2,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Village of CAMERON,Village of CAMERON Wards 1-3,Congressional - District 7,State Senate - District 25,Assembly - District 75,348,245,3,2,6,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Village of DALLAS,Village of DALLAS Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,77,35,3,2,1,1,0,0,0,0,0,0,0,0,0,governor
BARRON,Village of HAUGEN,Village of HAUGEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,66,59,1,1,1,0,0,0,0,0,0,0,0,0,0,governor
BARRON,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN Ward 2,Congressional - District 7,State Senate - District 23,Assembly - District 67,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,governor
BARRON,VILLAGE OF NEW AUBURN,VILLAGE OF NEW AUBURN Ward 3,Congressional - District 7,State Senate - District 25,Assembly - District 75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,governor
BARRON,Village of PRAIRIE FARM,Village of PRAIRIE FARM Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,86,59,0,0,1,1,0,0,0,0,0,0,0,0,0,governor
BARRON,Village of TURTLE LAKE,Village of TURTLE LAKE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 75,143,114,1,2,2,2,0,0,0,0,0,0,0,0,0,governor
BARRON,City of BARRON,City of BARRON Wards 1-7,Congressional - District 7,State Senate - District 25,Assembly - District 75,543,509,8,1,7,1,0,0,0,0,0,0,0,0,0,governor
BARRON,City of CHETEK,City of CHETEK Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,448,325,4,7,5,0,0,0,0,0,0,0,0,0,1,governor
BARRON,City of CUMBERLAND,City of CUMBERLAND Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 75,470,441,7,3,5,1,0,0,0,0,0,0,0,0,0,governor
BARRON,City of RICE LAKE,City of RICE LAKE Wards 1-13,Congressional - District 7,State Senate - District 25,Assembly - District 75,1604,1457,27,12,21,3,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of BARKSDALE,Town of BARKSDALE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,185,233,2,1,5,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of BARNES,Town of BARNES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,268,241,2,0,7,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of BAYFIELD,Town of BAYFIELD Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,144,336,1,3,2,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of BAYVIEW,Town of BAYVIEW Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,131,192,0,2,4,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of BELL,Town of BELL Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,73,145,3,0,2,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of CABLE,Town of CABLE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,249,222,6,2,8,1,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of CLOVER,Town of CLOVER Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,75,93,1,0,1,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of DELTA,Town of DELTA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,110,97,0,1,2,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of DRUMMOND,Town of DRUMMOND Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,128,152,1,0,2,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of EILEEN,Town of EILEEN Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,174,202,2,0,2,2,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of GRAND VIEW,Town of GRAND VIEW Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,112,151,4,5,2,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of HUGHES,Town of HUGHES Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,114,138,2,1,5,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of IRON RIVER,Town of IRON RIVER Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,315,326,5,3,10,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of KELLY,Town of KELLY Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,109,97,1,1,3,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of KEYSTONE,Town of KEYSTONE Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,95,73,5,1,3,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of LINCOLN,Town of LINCOLN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,71,78,1,2,1,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of MASON,Town of MASON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,70,82,2,1,2,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of NAMAKAGON,Town of NAMAKAGON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,134,87,0,4,1,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of ORIENTA,Town of ORIENTA Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,39,37,0,1,2,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of OULU,Town of OULU Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,151,161,2,0,3,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of PILSEN,Town of PILSEN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,53,74,0,0,1,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of PORT WING,Town of PORT WING Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,105,146,1,0,0,1,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of RUSSELL,Town of RUSSELL Wards 1-2,Congressional - District 7,State Senate - District 25,Assembly - District 74,78,438,0,6,1,1,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of TRIPP,Town of TRIPP Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,66,61,3,0,0,1,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Town of WASHBURN,Town of WASHBURN Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,93,212,0,1,3,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,Village of MASON,Village of MASON Ward 1,Congressional - District 7,State Senate - District 25,Assembly - District 74,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,CITY OF ASHLAND,CITY OF ASHLAND Ward 12,Congressional - District 7,State Senate - District 25,Assembly - District 74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,City of BAYFIELD,City of BAYFIELD Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 74,60,260,3,1,3,1,0,0,0,0,0,0,0,0,0,governor
BAYFIELD,City of WASHBURN,City of WASHBURN Wards 1-4,Congressional - District 7,State Senate - District 25,Assembly - District 74,242,801,4,7,10,0,0,0,0,0,0,0,0,0,1,governor
BROWN,Town of EATON,Town of EATON Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 1,523,292,5,0,6,1,0,0,0,0,0,0,0,0,0,governor
BROWN,Town of GLENMORE,Town of GLENMORE Wards 1-2,Congressional - District 8,State Senate - District 30,Assembly - District 88,372,154,2,2,5,2,0,0,0,0,0,0,0,0,0,governor
BROWN,Town of GREEN BAY,Town of GREEN BAY Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 1,794,349,2,3,1,2,0,0,0,0,0,0,0,0,0,governor
BROWN,Town of HOLLAND,Town of HOLLAND Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 2,543,262,2,1,2,1,0,0,0,0,0,0,0,0,0,governor
BROWN,Town of HUMBOLDT,Town of HUMBOLDT Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 1,454,238,3,1,2,0,0,0,0,0,0,0,0,0,1,governor
BROWN,Town of LAWRENCE,Town of LAWRENCE Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,841,506,11,5,6,1,0,0,0,0,0,0,0,0,0,governor
BROWN,Town of LAWRENCE,Town of LAWRENCE Wards 4-6,Congressional - District 8,State Senate - District 1,Assembly - District 2,1132,511,10,4,11,1,0,0,0,0,0,0,0,0,0,governor
BROWN,Town of LEDGEVIEW,"Town of LEDGEVIEW Wards 1-3,8-10",Congressional - District 8,State Senate - District 30,Assembly - District 88,1356,805,18,6,19,4,0,0,0,0,0,0,0,0,1,governor
BROWN,Town of LEDGEVIEW,Town of LEDGEVIEW Wards 4-7,Congressional - District 8,State Senate - District 1,Assembly - District 2,1112,733,17,6,11,2,0,0,0,0,0,0,0,0,1,governor
BROWN,Town of MORRISON,Town of MORRISON Wards 1-2,Congressional - District 8,State Senate - District 1,Assembly - District 2,600,166,3,0,2,1,0,0,0,0,0,0,0,0,0,governor
BROWN,Town of NEW DENMARK,Town of NEW DENMARK Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,516,303,6,5,8,0,0,0,0,0,0,0,0,0,0,governor
BROWN,Town of PITTSFIELD,Town of PITTSFIELD Wards 1-3,Congressional - District 8,State Senate - District 2,Assembly - District 6,1024,471,6,5,7,2,0,0,0,0,0,0,0,0,0,governor
BROWN,Town of ROCKLAND,Town of ROCKLAND Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,667,309,5,1,5,0,0,0,0,0,0,0,0,0,0,governor
BROWN,Town of SCOTT,Town of SCOTT Wards 1-4,Congressional - District 8,State Senate - District 1,Assembly - District 1,1178,835,12,6,14,0,0,0,0,0,0,0,0,0,2,governor
BROWN,Town of WRIGHTSTOWN,Town of WRIGHTSTOWN Wards 1-3,Congressional - District 8,State Senate - District 1,Assembly - District 2,749,348,6,2,7,0,0,0,0,0,0,0,0,0,0,governor
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 1-2,Congressional - District 8,State Senate - District 2,Assembly - District 4,795,985,20,10,15,2,0,0,0,0,0,0,0,0,0,governor
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 3-4,Congressional - District 8,State Senate - District 2,Assembly - District 4,756,875,8,2,7,1,0,0,0,0,0,0,0,0,0,governor
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 5-6,Congressional - District 8,State Senate - District 2,Assembly - District 4,1111,930,18,5,11,2,0,0,0,0,0,0,0,0,1,governor
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Wards 7-9,Congressional - District 8,State Senate - District 2,Assembly - District 4,840,779,11,2,8,0,0,0,0,0,0,0,0,0,0,governor
BROWN,Village of ALLOUEZ,Village of ALLOUEZ Ward 10,Congressional - District 8,State Senate - District 30,Assembly - District 88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,governor
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 1-2,Congressional - District 8,State Senate - District 2,Assembly - District 4,563,494,19,9,9,0,0,0,0,0,0,0,0,0,1,governor
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 3-4,Congressional - District 8,State Senate - District 2,Assembly - District 4,561,466,11,7,7,3,0,0,0,0,0,0,0,0,1,governor
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 5-6,Congressional - District 8,State Senate - District 2,Assembly - District 4,694,592,13,4,12,1,0,0,0,0,0,0,0,0,2,governor
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 7-8,Congressional - District 8,State Senate - District 2,Assembly - District 4,910,640,8,1,10,0,0,0,0,0,0,0,0,0,0,governor
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 9-10,Congressional - District 8,State Senate - District 2,Assembly - District 4,975,717,11,6,8,0,0,0,0,0,0,0,0,0,0,governor
BROWN,Village of ASHWAUBENON,Village of ASHWAUBENON Wards 11-12,Congressional - District 8,State Senate - District 2,Assembly - District 4,778,709,15,7,9,2,0,0,0,0,0,0,0,0,1,governor
BROWN,Village of BELLEVUE,Village of BELLEVUE Wards 1-6,Congressional - District 8,State Senate - District 30,Assembly - District 88,1673,1509,27,18,21,4,0,0,0,0,0,0,0,0,0,governor
